"Story","Title","Result","Date","Stability","Duration (s)"
"Mentee Home Page Task Bar","Verify Task Title visibility","SUCCESS","2022-11-10T22:52:14.811+07:00[Asia/Bangkok]","0.0","45.38"
"Mentee Home Page Task Bar","Verify Task description visibility","SUCCESS","2022-11-10T22:53:01.883+07:00[Asia/Bangkok]","0.0","6.72"
"Mentee Home Page Task Bar","Verify Due Date visibility","SUCCESS","2022-11-10T22:53:09.816+07:00[Asia/Bangkok]","0.0","6.28"
"Mentee Home Page Task Bar","Verify Task file visibility","SUCCESS","2022-11-10T22:53:17.063+07:00[Asia/Bangkok]","0.0","5.86"
"Mentee Home Page Task Bar","Verify Submit your task visibility","SUCCESS","2022-11-10T22:53:48.547+07:00[Asia/Bangkok]","0.0","5.32"
"Mentee Home Page Task Bar","Verify Submit your task functionality","SUCCESS","2022-11-10T22:53:54.847+07:00[Asia/Bangkok]","0.0","5.66"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-13T23:54:16.641+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-13T23:54:37.184+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-13T23:54:47.462+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-13T23:54:57.768+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Home Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-13T23:55:08.024+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Scroll bar visibility","SUCCESS","2022-11-13T23:55:18.283+07:00[Asia/Bangkok]","0.0","10.28"
"Mentee Home Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-13T23:55:28.603+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-13T23:55:38.858+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Home Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-13T23:55:49.129+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Home Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-13T23:55:59.376+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Home Page Task Bar","Verify Task file location","SUCCESS","2022-11-13T23:56:09.599+07:00[Asia/Bangkok]","0.0","10.21"
"Mentee Home Page Task Bar","Verify Score location","SUCCESS","2022-11-13T23:56:19.83+07:00[Asia/Bangkok]","0.0","10.22"
