"Story","Title","Result","Date","Stability","Duration (s)"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-13T22:00:09.742+07:00[Asia/Bangkok]","0.0","8.4"
"Submit Button Functionality","Input invalid data on edit class field and choose inactive class","FAILURE","2022-11-13T21:29:30.501+07:00[Asia/Bangkok]","0.0","10.4"
"Submit Button Functionality","Input invalid data on edit class field and choose active class","FAILURE","2022-11-13T21:29:42.469+07:00[Asia/Bangkok]","0.0","9.93"
"Submit Button Functionality","Input invalid data on edit class field and didn't choose status class","FAILURE","2022-11-13T21:29:53.892+07:00[Asia/Bangkok]","0.0","10.07"
"Submit Button Functionality","Input empty data on edit class field and choose inactive class","FAILURE","2022-11-13T21:30:05.7+07:00[Asia/Bangkok]","0.0","10.23"
"Submit Button Functionality","Input empty data on edit class field and choose active class","FAILURE","2022-11-13T21:30:17.375+07:00[Asia/Bangkok]","0.0","9.2"
"Submit Button Functionality","Input empty data on edit class field and didn't choose active class","FAILURE","2022-11-13T21:30:27.967+07:00[Asia/Bangkok]","0.0","9.92"
"Submit Button","Verify Submit button when edit with invalid data","FAILURE","2022-11-13T22:09:20.944+07:00[Asia/Bangkok]","0.0","23.33"
"Edit User’s Profile by Mentee's Profile Picture","Verify new profile picture displayed correctyly","FAILURE","2022-11-13T22:09:45.142+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Performance","Verify app handler when application is busy","FAILURE","2022-11-13T15:09:12.693+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Performance","Verify app behaviour when operation timeout","FAILURE","2022-11-13T15:09:12.748+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Verify all error messages should be displayed in same CSS style","FAILURE","2022-11-13T15:09:12.901+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Verify password is masked when eye icon is not clicked","FAILURE","2022-11-13T15:09:13.116+07:00[Asia/Bangkok]","0.0","0.04"
"Login Page Visual Testing","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T15:09:13.169+07:00[Asia/Bangkok]","0.0","0.04"
"Login Page Visual Testing","Verify application crash handling method and should be redirected to error page","FAILURE","2022-11-13T15:09:13.236+07:00[Asia/Bangkok]","0.0","0.03"
"User Login Functionality","Verify user login when other login session is active","FAILURE","2022-11-13T15:50:36.894+07:00[Asia/Bangkok]","0.0","1.28"
"User Login Functionality","Verify eye icon functionality","FAILURE","2022-11-13T15:50:38.38+07:00[Asia/Bangkok]","0.0","0.04"
"User Login Functionality","Verify user login without email suffix","FAILURE","2022-11-13T22:29:08.077+07:00[Asia/Bangkok]","0.0","1.28"
"User Login Functionality","Verify user login at the same times with different browser","FAILURE","2022-11-13T23:30:19.224+07:00[Asia/Bangkok]","0.0","16.6"
"User Login Functionality","Verify accessing webapp after close without logout","FAILURE","2022-11-13T23:30:35.871+07:00[Asia/Bangkok]","0.0","15.38"
"Mentee Home Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-13T23:54:26.89+07:00[Asia/Bangkok]","0.0","10.26"
"Element Visibility and Locator","Verify all element is visible using automated element locator on Mentee Page","ERROR","2022-11-12T21:28:05.942+07:00[Asia/Bangkok]","0.0","9.55"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is no mentee due task","FAILURE","2022-11-14T01:06:57.166+07:00[Asia/Bangkok]","0.0","10.24"
"Register New Member","Verify register new member with Copy-Paste on field password","FAILURE","2022-11-13T22:37:51.507+07:00[Asia/Bangkok]","0.0","10.27"
"Register New Member","Verify register new member with Common Delimiter on field name","FAILURE","2022-11-13T22:58:29.556+07:00[Asia/Bangkok]","0.0","15.21"
"Register New Member","Verify register new member with Leading Space on field name","FAILURE","2022-11-13T22:58:46.323+07:00[Asia/Bangkok]","0.0","9.83"
"Register New Member","Verify register new member with End-of-Line Characters(^M) on field name","FAILURE","2022-11-13T22:58:57.49+07:00[Asia/Bangkok]","0.0","9.44"
"Register New Member","Verify register new member with Emoji on field name","FAILURE","2022-11-13T22:59:08.027+07:00[Asia/Bangkok]","0.0","10.07"
"Register New Member","Verify register new member with more than allowed characters ammount on field email","FAILURE","2022-11-13T22:59:19.409+07:00[Asia/Bangkok]","0.0","9.97"
"Register New Member","Verify email is unique value","FAILURE","2022-11-13T22:59:30.765+07:00[Asia/Bangkok]","0.0","8.78"
"Register New Member","Verify password is masked when eye icon is not clicked","FAILURE","2022-11-13T23:00:05.611+07:00[Asia/Bangkok]","0.0","10.26"
"Register New Member","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T23:00:15.901+07:00[Asia/Bangkok]","0.0","10.21"
