"Story","Title","Result","Date","Stability","Duration (s)"
"Element Visibility and Locator mentee task","Verify all element is visible using automated element locator on Mentee Page","SUCCESS","2022-11-14T03:05:47.143+07:00[Asia/Bangkok]","0.0","56.28"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option visibility","SUCCESS","2022-11-14T00:35:58.142+07:00[Asia/Bangkok]","0.0","7.12"
"Mentee Task Page Menu Navigation","Verify Mentee Task Page Menu Navigation and option functionality","SUCCESS","2022-11-14T00:36:06.319+07:00[Asia/Bangkok]","0.0","32.78"
"Mentee Task Page Task Bar","Verify Task Bar visibility when there is mentee due task","SUCCESS","2022-11-14T01:06:46.897+07:00[Asia/Bangkok]","0.0","10.24"
"Mentee Task Page Task Bar","Verify Task Bar Title visibility","SUCCESS","2022-11-14T01:07:07.421+07:00[Asia/Bangkok]","0.0","5.37"
"Mentee Task Page Task Bar","Verify Task Title visibility","SUCCESS","2022-11-14T01:07:14.023+07:00[Asia/Bangkok]","0.0","5.84"
"Mentee Task Page Task Bar","Verify Task description visibility","SUCCESS","2022-11-14T01:07:20.973+07:00[Asia/Bangkok]","0.0","5.89"
"Mentee Task Page Task Bar","Verify Due Date visibility","SUCCESS","2022-11-14T01:07:28.046+07:00[Asia/Bangkok]","0.0","6.59"
"Mentee Task Page Task Bar","Verify Task file visibility","SUCCESS","2022-11-14T01:07:35.832+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Task file redirect functionality","SUCCESS","2022-11-14T01:07:46.098+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Score visibility when reviewed","SUCCESS","2022-11-14T01:07:56.312+07:00[Asia/Bangkok]","0.0","10.17"
"Mentee Task Page Task Bar","Verify Score visibility when not reviewed","SUCCESS","2022-11-14T01:08:06.498+07:00[Asia/Bangkok]","0.0","10.2"
"Mentee Task Page Task Bar","Verify Submit your task visibility","SUCCESS","2022-11-14T01:08:16.715+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Submit your task functionality","SUCCESS","2022-11-14T01:08:26.976+07:00[Asia/Bangkok]","0.0","10.18"
"Mentee Task Page Task Bar","Verify user upload valid file format","SUCCESS","2022-11-14T01:08:37.173+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify user upload invalid file format","SUCCESS","2022-11-14T01:08:47.444+07:00[Asia/Bangkok]","0.0","10.22"
"Mentee Task Page Task Bar","Verify Task Bar Title font size","SUCCESS","2022-11-14T01:08:57.675+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Task Title Font size and location","SUCCESS","2022-11-14T01:09:07.921+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify Task description Font size and location","SUCCESS","2022-11-14T01:09:18.186+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Due date Font config and location","SUCCESS","2022-11-14T01:09:28.434+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Task Bar","Verify Task file location","SUCCESS","2022-11-14T01:09:38.698+07:00[Asia/Bangkok]","0.0","10.23"
"Mentee Task Page Task Bar","Verify Score location","SUCCESS","2022-11-14T01:09:48.944+07:00[Asia/Bangkok]","0.0","10.25"
"Mentee Task Page Title","Verify Page Title location on Mentee Task Page","SUCCESS","2022-11-13T15:11:58.451+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Task Page Title","Verify Page Title has biggest font on Mentee Task Page","SUCCESS","2022-11-13T15:11:58.488+07:00[Asia/Bangkok]","0.0","0.01"
"Mentee Task Page Title","Verify all element is visible using automated element locator on Mentee Page","SUCCESS","2022-11-14T01:16:32.38+07:00[Asia/Bangkok]","0.0","10.52"
